"fecha","rho7dpromedio","incidenciaAcum14d","riesgopor10"
2020-03-29,1.52380952380952,2.57985456069914,3.93120694963679
2020-03-30,2.04761904761905,2.25737274061175,4.62223942125263
2020-03-31,2.42857142857143,2.57985456069914,6.26536107598363
2020-04-01,2.35714285714286,2.25737274061175,5.32095003144198
2020-04-02,2.21428571428571,2.90233638078653,6.42660198602732
2020-04-03,2.14285714285714,3.22481820087393,6.91032471615841
2020-04-04,2.14285714285714,2.57985456069914,5.52825977292673
2020-04-05,2.04761904761905,2.25737274061175,4.62223942125263
2020-04-06,2.04761904761905,2.25737274061175,4.62223942125263
2020-04-07,2.19047619047619,4.1922636611361,9.18305373391718
2020-04-08,2.23809523809524,4.83722730131089,10.8261753886482
2020-04-09,2.32738095238095,5.15970912139828,12.0086087289686
2020-04-10,2.15595238095238,5.48219094148567,11.8193426131316
2020-04-11,1.89880952380952,6.12715458166046,11.63429947351
2020-04-12,1.45119047619048,6.44963640174785,9.35965092110789
2020-04-13,0.994047619047619,6.77211822183524,6.73180799432432
2020-04-14,0.56547619047619,6.44963640174785,3.64711582241694
2020-04-15,0.68452380952381,6.12715458166046,4.19418319577948
2020-04-16,0.880952380952381,5.80467276157307,5.11364028995722
2020-04-17,1.26666666666667,6.44963640174785,8.16953944221395
2020-04-18,1.38095238095238,6.77211822183524,9.35197278253438
2020-04-19,1.46666666666667,7.09460004192264,10.4054133948199
2020-04-20,1.40952380952381,7.09460004192264,10.0000076781386
2020-04-21,1.26666666666667,5.80467276157307,7.35258549799255
2020-04-22,1.07619047619048,5.80467276157307,6.2469335434072
2020-04-23,0.826190476190476,5.15970912139828,4.26290253601239
2020-04-24,0.433333333333333,4.83722730131089,2.09613183056805
2020-04-25,0.29047619047619,4.1922636611361,1.21775277775858
2020-04-26,0.176190476190476,3.86978184104871,0.68181870532763
2020-04-27,0.261904761904762,3.54730002096132,0.929054767394631
2020-04-28,0.404761904761905,3.54730002096132,1.43581191324625
2020-04-29,0.642857142857143,3.54730002096132,2.28040715633228
2020-04-30,1.03571428571429,3.22481820087393,3.33999027947657
2020-05-01,1.42857142857143,2.57985456069914,3.68550651528449
2020-05-02,1.71428571428571,2.25737274061175,3.86978184104871
2020-05-03,1.71428571428571,2.25737274061175,3.86978184104871
2020-05-04,1.78571428571429,2.90233638078653,5.18274353711881
2020-05-05,1.83333333333333,2.25737274061175,4.13851669112154
2020-05-06,1.78571428571429,1.61240910043696,2.87930196506601
2020-05-07,1.5,1.61240910043696,2.41861365065544
2020-05-08,1.21428571428571,2.57985456069914,3.13268053799181
2020-05-09,0.976190476190476,2.90233638078653,2.83323313362495
2020-05-10,1.11904761904762,2.90233638078653,3.24785261659445
2020-05-11,1.07619047619048,2.90233638078653,3.1234667717036
2020-05-12,1.24285714285714,2.90233638078653,3.60718950183469
2020-05-13,1.57619047619048,3.22481820087393,5.08292773566319
2020-05-14,2.0047619047619,4.1922636611361,8.40449048256333
2020-05-15,2.04047619047619,4.5147454812235,9.21223066049651
2020-05-16,2.04047619047619,4.5147454812235,9.21223066049651
2020-05-17,1.98333333333333,5.15970912139828,10.2334230907733
2020-05-18,1.98333333333333,4.83722730131089,9.59383414759993
2020-05-19,1.84047619047619,5.15970912139828,9.49632178771636
2020-05-20,1.38333333333333,5.15970912139828,7.13759761793429
2020-05-21,0.883333333333333,5.80467276157307,5.12746093938954
2020-05-22,0.8,6.12715458166046,4.90172366532837
2020-05-23,0.823809523809524,5.80467276157307,4.78194470358162
2020-05-24,0.833333333333333,5.48219094148567,4.56849245123806
2020-05-25,0.84047619047619,5.80467276157307,4.87868924960784
2020-05-26,1.19761904761905,6.12715458166046,7.33799703470288
2020-05-27,1.36904761904762,6.12715458166046,8.38836639155896
2020-05-28,1.48809523809524,5.80467276157307,8.63790589519802
2020-05-29,1.5,5.80467276157307,8.7070091423596
2020-05-30,1.48571428571429,6.12715458166046,9.10320109275268
2020-05-31,1.39047619047619,5.48219094148567,7.62285597578008
2020-06-01,1.21190476190476,5.80467276157307,7.03471056104926
2020-06-02,0.64047619047619,5.48219094148567,3.51121276966582
2020-06-03,0.354761904761905,5.48219094148567,1.94487250066992
2020-06-04,0.164285714285714,4.83722730131089,0.794687342358217
2020-06-05,0.2,3.54730002096132,0.709460004192264
2020-06-06,0.285714285714286,3.54730002096132,1.01351429170323
2020-06-07,0.428571428571429,3.54730002096132,1.52027143755485
2020-06-08,0.571428571428571,3.22481820087393,1.84275325764224
2020-06-09,0.714285714285714,3.22481820087393,2.3034415720528
2020-06-10,1.14285714285714,2.90233638078653,3.31695586375604
2020-06-11,1.71428571428571,2.25737274061175,3.86978184104871
2020-06-12,2.14285714285714,1.93489092052436,4.14619482969505
2020-06-13,2.57142857142857,1.61240910043696,4.14619482969505
2020-06-14,3,1.93489092052436,5.80467276157307
2020-06-15,3.23809523809524,2.25737274061175,7.3095879219809
2020-06-16,3.26666666666667,4.1922636611361,13.6947279597113
2020-06-17,2.9030303030303,5.15970912139828,14.9787919342411
2020-06-18,2.37922077922078,6.12715458166046,14.5778534981844
2020-06-19,1.9030303030303,6.77211822183524,12.8875461918562
2020-06-20,1.47445887445887,7.09460004192264,10.4606959925491
2020-06-21,1.18874458874459,7.73956368209742,9.20036444633745
2020-06-22,1.15064935064935,8.06204550218481,9.27658742199447
2020-06-23,1.55064935064935,9.35197278253438,14.5016305225273
2020-06-24,1.78928571428571,9.99693642270917,17.8873755277761
2020-06-25,2.08095238095238,11.6093455231461,24.1584952076898
2020-06-26,2.18809523809524,12.8992728034957,28.2248373962204
2020-06-27,2.46190476190476,15.8016091842822,38.9020568965425
2020-06-28,2.52957393483709,16.1240910043696,40.7870803275947
2020-06-29,2.58167477517323,17.4140182847192,44.9573317400649
2020-06-30,2.37114845938375,17.7365001048066,42.0558748983719
2020-07-01,2.42051820728291,23.5411728663797,56.9818375438664
2020-07-02,2.29755902360944,28.7008819877779,65.9419703965689
2020-07-03,2.21675861834095,30.3132910882149,67.1972492700784
2020-07-04,1.92167249878675,37.0854093100501,71.2660111773734
2020-07-05,1.68138427823537,40.6327093310115,68.3191986512703
2020-07-06,1.44288888007611,46.1149002724971,66.5386768090047
2020-07-07,1.22214834950439,47.4048275528467,57.935731752252
2020-07-08,1.05492145874809,50.952127573808,53.7504927464804
2020-07-09,0.988594928135847,54.4994275947693,53.8778577064958
2020-07-10,0.991074531399325,58.3692094358181,57.8482368897524
2020-07-11,0.975084046398664,61.594027636692,60.0593537019768
2020-07-12,0.982867929182547,65.7862912978281,64.6592358964961
2020-07-13,0.958273476016665,65.7862912978281,63.0412580362146
2020-07-14,0.960968893806422,66.7537367580903,64.1482645698671
